stage,scenario_id,model,model_family,primary_metric_type,cause_specific_cindex_event1_mean,risk5_mae_vs_true_risk_mean,brier_5y_naive_mean,auc_5y_observed_event1_mean,calibration_slope_5y_mean,failure_rate
C2,S0_linear_PH_inst30,cox_dgm_features,C2 cause-specific,ranking,0.6968004277571765,0.0858108569802598,0.2046764250570303,,0.609022096861722,0.0
C2,S0_linear_PH_inst30,oracle_true_lp_not_a_model,C2 cause-specific,ranking,0.7041759180368307,0.0,0.188683499850877,,1.032609618500741,0.0
C2,S0_linear_PH_inst30,penalised_cox_all_safe_predictors,C2 cause-specific,ranking,0.6884690468701143,0.0927124158223342,0.2057823496465395,,0.6047759814284578,0.0
C2,S0_linear_PH_inst30,xgb_survival_cox_strict,C2 cause-specific,ranking,0.684827596083545,,,,,0.0
C2,S1_linear_PH_inst15,cox_dgm_features,C2 cause-specific,ranking,0.6919187197553369,0.0542427844320095,0.128283444615562,,0.6519454239532547,0.0
C2,S1_linear_PH_inst15,oracle_true_lp_not_a_model,C2 cause-specific,ranking,0.7042872063163241,0.0,0.1200167017773075,,1.0055092732604989,0.0
C2,S1_linear_PH_inst15,penalised_cox_all_safe_predictors,C2 cause-specific,ranking,0.6845830600064496,0.0555685186482851,0.127133304143789,,0.6929551668631012,0.0
C2,S1_linear_PH_inst15,xgb_survival_cox_strict,C2 cause-specific,ranking,0.6752955386630682,,,,,0.0
C2,S2_linear_PH_inst45,cox_dgm_features,C2 cause-specific,ranking,0.6933204052885168,0.1001710682454378,0.2363667670927791,,0.5120588348657688,0.0
C2,S2_linear_PH_inst45,oracle_true_lp_not_a_model,C2 cause-specific,ranking,0.6992684451098363,0.0,0.217210930027708,,1.0127733913924626,0.0
C2,S2_linear_PH_inst45,penalised_cox_all_safe_predictors,C2 cause-specific,ranking,0.6874475761034237,0.1097412414943933,0.2379843049807281,,0.5083672896411602,0.0
C2,S2_linear_PH_inst45,xgb_survival_cox_strict,C2 cause-specific,ranking,0.6845077131994094,,,,,0.0
