scenario_id,model,oracle_mae_mean,model_mae_mean,mae_gap_vs_oracle,oracle_rmse_mean,model_rmse_mean,rmse_gap_vs_oracle,oracle_brier_mean,model_brier_mean,brier_gap_vs_oracle,oracle_auc5_mean,model_auc5_mean,auc5_gap_vs_oracle,oracle_calibration_slope_mean,model_calibration_slope_mean,failure_rate,n_successful_reps
S0_linear_PH_inst30,cs_cox_dgm_cif,0.0,0.03708014784571448,0.03708014784571448,0.0,0.05147485117872308,0.05147485117872308,0.18868349985087707,0.19123158770257492,0.0025480878516978556,0.6960403174603175,0.686015492063492,-0.010024825396825476,1.032609618500741,0.9482845800867391,0.0,50
S0_linear_PH_inst30,cs_penalised_cox_all_safe_cif,0.0,0.05235315594901072,0.05235315594901072,0.0,0.06955166589453494,0.06955166589453494,0.18868349985087707,0.19366873946008364,0.0049852396092065765,0.6960403174603175,0.6756404232804233,-0.020399894179894185,1.032609618500741,0.8688142355292604,0.0,50
S0_linear_PH_inst30,nonparametric_aj_null,0.0,0.11540117750063195,0.11540117750063195,0.0,0.14255658001332847,0.14255658001332847,0.18868349985087707,0.21000004081632653,0.021316540965449465,0.6960403174603175,0.5,-0.19604031746031747,1.032609618500741,,0.0,50
S1_linear_PH_inst15,cs_cox_dgm_cif,0.0,0.027065579096441836,0.027065579096441836,0.0,0.03990514142352869,0.03990514142352869,0.1200167017773075,0.12172242662681754,0.0017057248495100374,0.6831674074074074,0.6668100740740742,-0.016357333333333224,1.0055092732604987,0.8878698278193086,0.0,50
S1_linear_PH_inst15,cs_penalised_cox_all_safe_cif,0.0,0.034485506180568996,0.034485506180568996,0.0,0.04810738951744371,0.04810738951744371,0.1200167017773075,0.12231937415023628,0.002302672372928777,0.6831674074074074,0.6591007233115468,-0.024066684095860658,1.0055092732604987,0.8604932295992748,0.0,50
S1_linear_PH_inst15,nonparametric_aj_null,0.0,0.06710508688849966,0.06710508688849966,0.0,0.08623675665446787,0.08623675665446787,0.1200167017773075,0.12750004734693873,0.007483345569631233,0.6831674074074074,0.5,-0.18316740740740745,1.0055092732604987,,0.0,50
S2_linear_PH_inst45,cs_cox_dgm_cif,0.0,0.040127605297137506,0.040127605297137506,0.0,0.05336389525099064,0.05336389525099064,0.21721093002770794,0.22001233928936131,0.0028014092616533703,0.7018918249158248,0.6929197755331089,-0.008972049382715896,1.0127733913924626,0.9497847442118789,0.0,50
S2_linear_PH_inst45,cs_penalised_cox_all_safe_cif,0.0,0.05805276822735461,0.05805276822735461,0.0,0.07454791932481764,0.07454791932481764,0.21721093002770794,0.2224383656030752,0.005227435575367256,0.7018918249158248,0.685159901234568,-0.016731923681256755,1.0127733913924626,0.8797423349769304,0.0,50
S2_linear_PH_inst45,nonparametric_aj_null,0.0,0.14312744352397128,0.14312744352397128,0.0,0.1727007061522591,0.1727007061522591,0.21721093002770794,0.2475000457142857,0.030289115686577744,0.7018918249158248,0.5,-0.2018918249158248,1.0127733913924626,,0.0,50
S3_nonlinear_interaction_inst30,cs_cox_dgm_cif,0.0,0.05245876829431055,0.05245876829431055,0.0,0.07302158300245828,0.07302158300245828,0.17563586208489748,0.18075298241564705,0.005117120330749569,0.7403853968253968,0.7251500952380951,-0.015235301587301686,1.0011395994077403,0.9118234374004227,0.0,50
S3_nonlinear_interaction_inst30,cs_penalised_cox_all_safe_cif,0.0,0.06343530847778628,0.06343530847778628,0.0,0.08675005196977002,0.08675005196977002,0.17563586208489748,0.18311313930377765,0.007477277218880168,0.7403853968253968,0.7168395343915342,-0.023545862433862585,1.0011395994077403,0.8857588806136023,0.0,50
S3_nonlinear_interaction_inst30,nonparametric_aj_null,0.0,0.14843059431193062,0.14843059431193062,0.0,0.18557768860354465,0.18557768860354465,0.17563586208489748,0.21000004734693875,0.03436418526204127,0.7403853968253968,0.5,-0.24038539682539684,1.0011395994077403,,0.0,50
S4_nonPH_inst30,cs_cox_dgm_cif,0.0,0.049902436523998055,0.049902436523998055,0.0,0.06712001015401707,0.06712001015401707,0.19455149405818847,0.19498430265013858,0.0004328085919501068,0.6717199365079367,0.6667624973544973,-0.00495743915343938,0.7787080097042895,0.87769525787081,0.0,50
S4_nonPH_inst30,cs_penalised_cox_all_safe_cif,0.0,0.06227082960845802,0.06227082960845802,0.0,0.08143052949735463,0.08143052949735463,0.19455149405818847,0.19744890546313307,0.0028974114049445943,0.6717199365079367,0.6554334391534392,-0.016286497354497498,0.7787080097042895,0.8166027403470857,0.0,50
S4_nonPH_inst30,nonparametric_aj_null,0.0,0.12911014156490605,0.12911014156490605,0.0,0.15806744242631005,0.15806744242631005,0.19455149405818847,0.21000003591836733,0.015448541860178855,0.6717199365079367,0.5,-0.1717199365079367,0.7787080097042895,,0.0,50
S5_MAR_missingness_inst30,cs_cox_dgm_cif,0.0,0.040153945155564405,0.040153945155564405,0.0,0.055241454297429,0.055241454297429,0.18968863470297812,0.1929702379241888,0.0032816032212106827,0.6907799576719575,0.6770235767195768,-0.013756380952380742,1.0014171919032346,0.9098022422559618,0.0,50
S5_MAR_missingness_inst30,cs_penalised_cox_all_safe_cif,0.0,0.05416398602925842,0.05416398602925842,0.0,0.07190457069252006,0.07190457069252006,0.18968863470297812,0.1949174262167185,0.005228791513740394,0.6907799576719575,0.6688121481481482,-0.02196780952380939,1.0014171919032346,0.8398799606237287,0.0,50
S5_MAR_missingness_inst30,nonparametric_aj_null,0.0,0.11586984744255581,0.11586984744255581,0.0,0.14296582295705687,0.14296582295705687,0.18968863470297812,0.21000004571428568,0.020311411011307567,0.6907799576719575,0.5,-0.19077995767195755,1.0014171919032346,,0.0,50
S6_highdim_sparseMRI_inst30,cs_cox_dgm_cif,0.0,0.04706275608807836,0.04706275608807836,0.0,0.06389130811246126,0.06389130811246126,0.17963914626204486,0.1836282577924384,0.003989111530393552,0.7298267936507937,0.7156676402116402,-0.014159153439153527,0.9791114928160645,0.9293684645318523,0.0,50
S6_highdim_sparseMRI_inst30,cs_penalised_cox_all_safe_cif,0.0,0.04558107525701154,0.04558107525701154,0.0,0.06168344341521606,0.06168344341521606,0.17963914626204486,0.18339403297721887,0.003754886715174016,0.7298267936507937,0.7175122962962962,-0.012314497354497522,0.9791114928160645,0.8792616129461156,0.0,50
S6_highdim_sparseMRI_inst30,nonparametric_aj_null,0.0,0.14287261302631932,0.14287261302631932,0.0,0.17728250471314266,0.17728250471314266,0.17963914626204486,0.21000004081632653,0.030360894554281675,0.7298267936507937,0.5,-0.22982679365079373,0.9791114928160645,,0.0,50
S7_strong_death_competing_inst30,cs_cox_dgm_cif,0.0,0.03665415016508258,0.03665415016508258,0.0,0.05026321441925932,0.05026321441925932,0.19127166534165022,0.19401801519424505,0.002746349852594837,0.6831334179894181,0.6711166137566138,-0.012016804232804268,1.020005109111316,0.9334317994708169,0.0,50
S7_strong_death_competing_inst30,cs_penalised_cox_all_safe_cif,0.0,0.051692700941190356,0.051692700941190356,0.0,0.06814062168137229,0.06814062168137229,0.19127166534165022,0.19594464160168965,0.00467297626003943,0.6831334179894181,0.6622804656084655,-0.020852952380952527,1.020005109111316,0.8598136827109668,0.0,50
S7_strong_death_competing_inst30,nonparametric_aj_null,0.0,0.10880481422725097,0.10880481422725097,0.0,0.13464978131134284,0.13464978131134284,0.19127166534165022,0.21000003428571426,0.018728368944064044,0.6831334179894181,0.5,-0.18313341798941807,1.020005109111316,,0.0,50
