scenario_id,model,oracle_cindex_mean,model_cindex_mean,cindex_gap_vs_oracle,oracle_spearman_true_lp_mean,model_spearman_true_lp_mean,spearman_gap_vs_oracle,model_risk5_mae_mean,oracle_risk5_mae_mean,risk5_mae_gap_vs_oracle,failure_rate,n_successful_reps,flag_model_exceeds_oracle_cindex_by_more_than_0_02
S0_linear_PH_inst30,cox_dgm_features,0.7041759180368307,0.6968004277571765,-0.007375490279654118,1.0,0.9650866206956894,-0.0349133793043106,0.08581085698025985,0.0,0.08581085698025985,0.0,50,False
S0_linear_PH_inst30,penalised_cox_all_safe_predictors,0.7041759180368307,0.6884690468701143,-0.01570687116671632,1.0,0.9254686653093382,-0.07453133469066175,0.09271241582233426,0.0,0.09271241582233426,0.0,50,False
S0_linear_PH_inst30,xgb_survival_cox_strict,0.7041759180368307,0.684827596083545,-0.01934832195328562,1.0,0.904087112655755,-0.09591288734424497,,0.0,,0.0,50,False
S1_linear_PH_inst15,cox_dgm_features,0.7042872063163241,0.6919187197553369,-0.012368486560987213,1.0,0.9454533356669509,-0.05454666433304911,0.054242784432009514,0.0,0.054242784432009514,0.0,50,False
S1_linear_PH_inst15,penalised_cox_all_safe_predictors,0.7042872063163241,0.6845830600064496,-0.019704146309874493,1.0,0.8990027571904643,-0.1009972428095357,0.05556851864828512,0.0,0.05556851864828512,0.0,50,False
S1_linear_PH_inst15,xgb_survival_cox_strict,0.7042872063163241,0.6752955386630682,-0.028991667653255893,1.0,0.8492335594257842,-0.15076644057421584,,0.0,,0.0,50,False
S2_linear_PH_inst45,cox_dgm_features,0.6992684451098363,0.6933204052885168,-0.0059480398213195285,1.0,0.9727832860006123,-0.027216713999387743,0.10017106824543787,0.0,0.10017106824543787,0.0,50,False
S2_linear_PH_inst45,penalised_cox_all_safe_predictors,0.6992684451098363,0.6874475761034237,-0.01182086900641266,1.0,0.9402332921550925,-0.05976670784490745,0.10974124149439338,0.0,0.10974124149439338,0.0,50,False
S2_linear_PH_inst45,xgb_survival_cox_strict,0.6992684451098363,0.6845077131994094,-0.014760731910426927,1.0,0.922322963392607,-0.077677036607393,,0.0,,0.0,50,False
S3_nonlinear_interaction_inst30,cox_dgm_features,0.744805770885036,0.7328802601927343,-0.011925510692301633,1.0,0.9509757434736638,-0.04902425652633624,0.0948156995849576,0.0,0.0948156995849576,0.0,50,False
S3_nonlinear_interaction_inst30,penalised_cox_all_safe_predictors,0.744805770885036,0.7261215664510858,-0.018684204433950136,1.0,0.9242270186253415,-0.07577298137465849,0.09863533318873476,0.0,0.09863533318873476,0.0,50,False
S3_nonlinear_interaction_inst30,xgb_survival_cox_strict,0.744805770885036,0.7254260131908804,-0.019379757694155564,1.0,0.913751805006881,-0.08624819499311898,,0.0,,0.0,50,False
S4_nonPH_inst30,cox_dgm_features,0.6956900174098606,0.6899636769700842,-0.005726340439776378,1.0,0.947734955117758,-0.05226504488224204,0.09159930519626,0.0,0.09159930519626,0.0,50,False
S4_nonPH_inst30,penalised_cox_all_safe_predictors,0.6956900174098606,0.681783243943903,-0.01390677346595759,1.0,0.914508274039233,-0.08549172596076704,0.09727609109702914,0.0,0.09727609109702914,0.0,50,False
S4_nonPH_inst30,xgb_survival_cox_strict,0.6956900174098606,0.6808183210934915,-0.014871696316369087,1.0,0.8929904635868727,-0.10700953641312727,,0.0,,0.0,50,False
S5_MAR_missingness_inst30,cox_dgm_features,0.699670337648507,0.6896704471627737,-0.009999890485733243,1.0,0.9572629878679946,-0.042737012132005425,0.08616971224777367,0.0,0.08616971224777367,0.0,50,False
S5_MAR_missingness_inst30,penalised_cox_all_safe_predictors,0.699670337648507,0.6828762418186634,-0.01679409582984359,1.0,0.9178219773431011,-0.08217802265689889,0.09257530501719356,0.0,0.09257530501719356,0.0,50,False
S5_MAR_missingness_inst30,xgb_survival_cox_strict,0.699670337648507,0.67927975101883,-0.020390586629676966,1.0,0.8969966915167749,-0.10300330848322514,,0.0,,0.0,50,False
S6_highdim_sparseMRI_inst30,cox_dgm_features,0.7188256441471452,0.7087519533291068,-0.010073690818038439,1.0,0.9542539199350757,-0.04574608006492431,0.0862008531089623,0.0,0.0862008531089623,0.0,50,False
S6_highdim_sparseMRI_inst30,penalised_cox_all_safe_predictors,0.7188256441471452,0.709706888985762,-0.009118755161383274,1.0,0.9577221305431692,-0.04227786945683076,0.0850853203333022,0.0,0.0850853203333022,0.0,50,False
S6_highdim_sparseMRI_inst30,xgb_survival_cox_strict,0.7188256441471452,0.7089227896057975,-0.009902854541347761,1.0,0.9486951692334087,-0.051304830766591314,,0.0,,0.0,50,False
S7_strong_death_competing_inst30,cox_dgm_features,0.7002662071046466,0.6925469155600072,-0.007719291544639351,1.0,0.9652442523746483,-0.03475574762535172,0.10668383680653268,0.0,0.10668383680653268,0.0,50,False
S7_strong_death_competing_inst30,penalised_cox_all_safe_predictors,0.7002662071046466,0.6856061416599745,-0.014660065444672132,1.0,0.9252217686662806,-0.07477823133371941,0.1117467158087154,0.0,0.1117467158087154,0.0,50,False
S7_strong_death_competing_inst30,xgb_survival_cox_strict,0.7002662071046466,0.6807706766918549,-0.01949553041279173,1.0,0.9017119317798408,-0.09828806822015923,,0.0,,0.0,50,False
